miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-485-5p,hsa-mir-654-3p,196,9448,1,0.0085,0.0075,0.269,0.052,0.0225,0.004
hsa-mir-485-5p,hsa-mir-654-3p,196,9448,1,0.0095,0.0045,0.166,0.052,0.0225,0.004
hsa-mir-485-5p,hsa-mir-654-3p,196,9448,1,0.007,0.004,0.22,0.052,0.0225,0.004
hsa-mir-485-5p,hsa-mir-654-3p,196,9448,1,0.0055,0.004,0.19,0.052,0.0225,0.004
hsa-mir-202-3p,hsa-mir-335-5p,27086,8452,-1,0.0005,0.0015,0.028,0.0175,0.2745,0.0035
hsa-mir-202-3p,hsa-mir-335-5p,27086,8452,-1,0.0005,0.001,0.029,0.0175,0.2745,0.0035
hsa-mir-202-3p,hsa-mir-335-5p,27086,8452,-1,0.0005,0,0.0415,0.0175,0.2745,0.0035
hsa-mir-202-3p,hsa-mir-335-5p,27086,8452,-1,0.001,0.001,0.0185,0.0175,0.2745,0.0035
hsa-mir-202-3p,hsa-mir-335-5p,27086,8452,-1,0,0.0005,0.026,0.0175,0.2745,0.0035
hsa-mir-183-5p,hsa-mir-96-5p,367,9766,1,0.001,0.0075,0.0015,0.0295,0.034,0.004
hsa-mir-183-5p,hsa-mir-96-5p,367,9622,1,0.001,0.0075,0.0015,0.059,0.244,0.0055
hsa-mir-183-5p,hsa-mir-96-5p,367,3757,1,0.001,0.0075,0.0015,0.026,0.2595,0.0075
hsa-mir-183-5p,hsa-mir-96-5p,367,9766,1,0.0005,0.0095,0.0055,0.0295,0.034,0.004
hsa-mir-183-5p,hsa-mir-96-5p,367,9622,1,0.0005,0.0095,0.0055,0.059,0.244,0.0055
hsa-mir-183-5p,hsa-mir-96-5p,367,3757,1,0.0005,0.0095,0.0055,0.026,0.2595,0.0075
hsa-mir-183-5p,hsa-mir-96-5p,367,9766,1,0.0005,0.006,0.003,0.0295,0.034,0.004
hsa-mir-183-5p,hsa-mir-96-5p,367,9622,1,0.0005,0.006,0.003,0.059,0.244,0.0055
hsa-mir-183-5p,hsa-mir-96-5p,367,3757,1,0.0005,0.006,0.003,0.026,0.2595,0.0075
hsa-mir-183-5p,hsa-mir-96-5p,367,9766,1,0.0005,0.0075,0.0015,0.0295,0.034,0.004
hsa-mir-183-5p,hsa-mir-96-5p,367,9622,1,0.0005,0.0075,0.0015,0.059,0.244,0.0055
hsa-mir-183-5p,hsa-mir-96-5p,367,3757,1,0.0005,0.0075,0.0015,0.026,0.2595,0.0075
hsa-mir-183-5p,hsa-mir-96-5p,367,9766,1,0,0.0045,0.004,0.0295,0.034,0.004
hsa-mir-183-5p,hsa-mir-96-5p,367,9622,1,0,0.0045,0.004,0.059,0.244,0.0055
hsa-mir-183-5p,hsa-mir-96-5p,367,3757,1,0,0.0045,0.004,0.026,0.2595,0.0075
hsa-mir-183-5p,hsa-mir-96-5p,367,9766,1,0.0015,0.008,0.0035,0.0295,0.034,0.004
hsa-mir-183-5p,hsa-mir-96-5p,367,9622,1,0.0015,0.008,0.0035,0.059,0.244,0.0055
hsa-mir-183-5p,hsa-mir-96-5p,367,3757,1,0.0015,0.008,0.0035,0.026,0.2595,0.0075
hsa-mir-183-5p,hsa-mir-96-5p,367,9766,1,0.001,0.0055,0.001,0.0295,0.034,0.004
hsa-mir-183-5p,hsa-mir-96-5p,367,9622,1,0.001,0.0055,0.001,0.059,0.244,0.0055
hsa-mir-183-5p,hsa-mir-96-5p,367,3757,1,0.001,0.0055,0.001,0.026,0.2595,0.0075
hsa-mir-183-5p,hsa-mir-96-5p,367,9766,1,0.0015,0.006,0.0025,0.0295,0.034,0.004
hsa-mir-183-5p,hsa-mir-96-5p,367,9622,1,0.0015,0.006,0.0025,0.059,0.244,0.0055
hsa-mir-183-5p,hsa-mir-96-5p,367,3757,1,0.0015,0.006,0.0025,0.026,0.2595,0.0075
hsa-mir-183-5p,hsa-mir-96-5p,367,9766,1,0.001,0.007,0.003,0.0295,0.034,0.004
hsa-mir-183-5p,hsa-mir-96-5p,367,9622,1,0.001,0.007,0.003,0.059,0.244,0.0055
hsa-mir-183-5p,hsa-mir-96-5p,367,3757,1,0.001,0.007,0.003,0.026,0.2595,0.0075
hsa-mir-183-5p,hsa-mir-96-5p,367,9766,1,0,0.0065,0.002,0.0295,0.034,0.004
hsa-mir-183-5p,hsa-mir-96-5p,367,9622,1,0,0.0065,0.002,0.059,0.244,0.0055
hsa-mir-183-5p,hsa-mir-96-5p,367,3757,1,0,0.0065,0.002,0.026,0.2595,0.0075
hsa-mir-210-3p,hsa-mir-9-5p,4286,10891,1,0.0075,0.0025,0.0475,0.047,0.0525,0.005
hsa-mir-210-3p,hsa-mir-9-5p,4286,10457,1,0.0075,0.0025,0.0475,0.379,0.0625,0.0045
hsa-mir-182-5p,hsa-mir-96-5p,4286,5579,1,0,0,0,0.116,0.132,0.0055
hsa-mir-182-5p,hsa-mir-96-5p,4286,2315,1,0,0,0,0.041,0.06,0
hsa-mir-210-3p,hsa-mir-9-5p,4286,10891,1,0.008,0.005,0.0395,0.047,0.0525,0.005
hsa-mir-210-3p,hsa-mir-9-5p,4286,10457,1,0.008,0.005,0.0395,0.379,0.0625,0.0045
hsa-mir-182-5p,hsa-mir-96-5p,4286,5579,1,0,0,0,0.116,0.132,0.0055
hsa-mir-182-5p,hsa-mir-96-5p,4286,2315,1,0,0,0,0.041,0.06,0
hsa-mir-210-3p,hsa-mir-9-5p,4286,10891,1,0.0055,0.004,0.04,0.047,0.0525,0.005
hsa-mir-210-3p,hsa-mir-9-5p,4286,10457,1,0.0055,0.004,0.04,0.379,0.0625,0.0045
hsa-mir-182-5p,hsa-mir-96-5p,4286,5579,1,0,0,0,0.116,0.132,0.0055
hsa-mir-182-5p,hsa-mir-96-5p,4286,2315,1,0,0,0,0.041,0.06,0
hsa-mir-182-5p,hsa-mir-96-5p,4286,5579,1,0,0,0,0.116,0.132,0.0055
hsa-mir-182-5p,hsa-mir-96-5p,4286,2315,1,0,0,0,0.041,0.06,0
hsa-mir-182-5p,hsa-mir-96-5p,4286,5579,1,0,0,0,0.116,0.132,0.0055
hsa-mir-182-5p,hsa-mir-96-5p,4286,2315,1,0,0,0,0.041,0.06,0
hsa-mir-182-5p,hsa-mir-96-5p,4286,5579,1,0,0,0,0.116,0.132,0.0055
