miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-181c-3p,hsa-mir-363-3p,3516,27086,1,0.0025,0.0085,0,0.0235,0.0185,0
hsa-mir-181c-3p,hsa-mir-363-3p,3516,114793,1,0.0025,0.0085,0,0.054,0.4005,0.001
hsa-mir-181c-3p,hsa-mir-363-3p,3516,27086,1,0.0005,0.0095,0,0.0235,0.0185,0
hsa-mir-181c-3p,hsa-mir-363-3p,3516,114793,1,0.0005,0.0095,0,0.054,0.4005,0.001
hsa-mir-181c-3p,hsa-mir-363-3p,3516,27086,1,0.003,0.0055,0,0.0235,0.0185,0
hsa-mir-181c-3p,hsa-mir-363-3p,3516,114793,1,0.003,0.0055,0,0.054,0.4005,0.001
hsa-mir-21-3p,hsa-mir-940,4782,23583,1,0.0075,0.0045,0.2005,0.412,0.4315,0.006
hsa-mir-21-3p,hsa-mir-940,4782,23583,1,0.007,0.0025,0.188,0.412,0.4315,0.006
hsa-mir-21-3p,hsa-mir-940,4782,23583,1,0.0095,0.0035,0.1745,0.412,0.4315,0.006
