miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-33a-5p,hsa-mir-503-5p,6667,4790,1,0,0,0.268,0.0195,0.109,0.0025
hsa-mir-33a-5p,hsa-mir-503-5p,6667,472,1,0,0,0.268,0.1925,0.765,0.002
hsa-mir-26b-3p,hsa-mir-362-5p,7003,51232,1,0.005,0,0.088,0.2415,0.1095,0.002
hsa-mir-26b-3p,hsa-mir-362-5p,7003,23002,1,0.005,0,0.088,0.0825,0.4795,0
hsa-mir-183-5p,hsa-mir-301b-3p,1316,84159,1,0,0.002,0.355,0.1955,0.029,0.0005
hsa-mir-183-5p,hsa-mir-301b-3p,1316,10938,1,0,0.002,0.355,0.0105,0.0685,0.0075
hsa-mir-301a-3p,hsa-mir-548b-3p,6667,356,1,0,0.002,0.051,0.0635,0.053,0.007
hsa-mir-301a-3p,hsa-mir-548b-3p,6667,1577,1,0,0.002,0.051,0.145,0.1075,0.0045
hsa-mir-18a-5p,hsa-mir-20a-5p,6774,4582,1,0.001,0,0.118,0.116,0.4355,0.001
hsa-mir-149-5p,hsa-mir-96-5p,6667,488,1,0.003,0.0005,0.006,0.0245,0.0625,0.005
hsa-mir-149-5p,hsa-mir-96-5p,6667,1143,1,0.003,0.0005,0.006,0.124,0.0405,0.0035
hsa-mir-130a-3p,hsa-mir-93-3p,6774,3479,1,0,0.0015,0.0015,0.051,0.0175,0.003
hsa-mir-196b-5p,hsa-mir-31-5p,6774,3454,1,0.0065,0.006,0.8685,0.012,0.1285,0.003
hsa-let-7c-5p,hsa-mir-30a-5p,1820,4335,1,0,0.004,0,0.2245,0.593,0
hsa-mir-130a-3p,hsa-mir-324-5p,3091,8553,1,0.001,0.0005,0.3805,0.311,0.138,0.0035
hsa-mir-130a-3p,hsa-mir-324-5p,3091,79365,1,0.001,0.0005,0.3805,0.195,0.027,0
