miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-1-3p,hsa-mir-29a-3p,6667,27430,1,0,0.004,0.0385,0.013,0.155,0.0035
hsa-mir-29a-3p,hsa-mir-7-5p,6667,5145,1,0.007,0.0035,0.516,0.2,0.9635,0.004
