"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-mir-182-5p","hsa-mir-96-5p",4286,"MITF",2315,"MLANA",1,0,0,0,0.0445,0.064,5e-04
"hsa-mir-182-5p","hsa-mir-96-5p",4286,"MITF",5579,"PRKCB",1,0,0,0,0.0585,0.12,0.0095
"hsa-mir-513c-5p","hsa-mir-514b-5p",4609,"MYC",5728,"PTEN",1,0,0,0,0.045,0.012,0.0035
"hsa-mir-202-3p","hsa-mir-335-5p",27086,"FOXP1",8452,"CUL3",-1,0,5e-04,0.0285,0.016,0.297,0.0035
"hsa-mir-183-5p","hsa-mir-96-5p",367,"AR",9622,"KLK4",1,0.001,0.0045,0.0025,0.06,0.249,0.007
"hsa-mir-654-3p","hsa-mir-758-3p",8202,"NCOA3",9969,"MED13",1,0.003,0.001,0.0555,0.018,0.0385,0.0065
"hsa-mir-127-5p","hsa-mir-654-3p",8202,"NCOA3",9969,"MED13",1,0.001,0.001,0.044,0.0565,0.0375,0.006
"hsa-mir-127-5p","hsa-mir-885-5p",8202,"NCOA3",23389,"MED13L",1,0.0025,0.001,0.5855,0.057,0.386,0.0075
"hsa-mir-654-3p","hsa-mir-758-3p",8202,"NCOA3",50807,"ASAP1",1,0.003,0.001,0.0555,0.012,0.0195,0.007
"hsa-mir-379-5p","hsa-mir-758-3p",8202,"NCOA3",50807,"ASAP1",1,0.0015,0.0015,0.0875,0.011,0.0105,0.009
"hsa-mir-329-3p","hsa-mir-758-3p",8202,"NCOA3",50807,"ASAP1",1,0.001,0.002,0.025,0.024,0.014,0.005
"hsa-mir-299-3p","hsa-mir-379-5p",8202,"NCOA3",50807,"ASAP1",1,0.002,0.0035,0.353,0.153,0.0115,0.0075
"hsa-mir-299-3p","hsa-mir-758-3p",8202,"NCOA3",50807,"ASAP1",1,0.0015,0.0015,0.424,0.1465,0.0185,0.0045
