miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-654-3p,hsa-mir-758-3p,8202,9969,1,0.003,0.001,0.0555,0.018,0.0385,0.0065
hsa-mir-654-3p,hsa-mir-758-3p,8202,50807,1,0.003,0.001,0.0555,0.012,0.0195,0.007
hsa-mir-183-5p,hsa-mir-96-5p,367,9622,1,0.001,0.0045,0.0025,0.06,0.249,0.007
hsa-mir-379-5p,hsa-mir-758-3p,8202,50807,1,0.0015,0.0015,0.0875,0.011,0.0105,0.009
hsa-mir-329-3p,hsa-mir-758-3p,8202,50807,1,0.001,0.002,0.025,0.024,0.014,0.005
hsa-mir-513c-5p,hsa-mir-514b-5p,4609,5728,1,0,0,0,0.045,0.012,0.0035
hsa-mir-127-5p,hsa-mir-654-3p,8202,9969,1,0.001,0.001,0.044,0.0565,0.0375,0.006
hsa-mir-202-3p,hsa-mir-335-5p,27086,8452,-1,0,0.0005,0.0285,0.016,0.297,0.0035
hsa-mir-182-5p,hsa-mir-96-5p,4286,5579,1,0,0,0,0.0585,0.12,0.0095
hsa-mir-182-5p,hsa-mir-96-5p,4286,2315,1,0,0,0,0.0445,0.064,0.0005
hsa-mir-127-5p,hsa-mir-885-5p,8202,23389,1,0.0025,0.001,0.5855,0.057,0.386,0.0075
hsa-mir-299-3p,hsa-mir-379-5p,8202,50807,1,0.002,0.0035,0.353,0.153,0.0115,0.0075
hsa-mir-299-3p,hsa-mir-758-3p,8202,50807,1,0.0015,0.0015,0.424,0.1465,0.0185,0.0045
