miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-183-5p,hsa-mir-9-5p,27086,7163,-1,0,0.0015,0.039,0.057,0.3095,0.0075
hsa-mir-129-5p,hsa-mir-20b-5p,2099,3726,1,0,0.002,0.3075,0.5435,0.106,0.0045
hsa-mir-141-3p,hsa-mir-96-5p,3516,3631,1,0,0,0,0.4335,0.3055,0.007
hsa-mir-18a-5p,hsa-mir-20a-5p,6774,6288,1,0.0045,0.003,0.1415,0.0175,0.095,0.0005
hsa-mir-18a-3p,hsa-mir-20a-3p,571,81844,1,0.0085,0.0055,0.0225,0.074,0.075,0.008
hsa-mir-19a-3p,hsa-mir-34c-5p,860,3381,1,0.0005,0.0055,0.088,0.7005,0.742,0.0045
hsa-mir-130b-3p,hsa-mir-20b-3p,6935,999,-1,0,0.0025,0.1865,0.575,0.7245,0.0035
hsa-mir-17-5p,hsa-mir-20a-5p,4205,8301,1,0.003,0.008,0.02,0.0385,0.0295,0.005
hsa-mir-17-5p,hsa-mir-20a-5p,4205,4000,1,0.003,0.008,0.02,0.178,0.036,0.0045
hsa-mir-125b-2-3p,hsa-mir-19a-3p,27086,10090,-1,0.0025,0,0.042,0.318,0.8185,0.0035
hsa-mir-17-5p,hsa-mir-19b-3p,4782,4146,-1,0,0.0005,0.003,0.166,0.069,0.0055
hsa-mir-17-5p,hsa-mir-9-5p,2099,9021,1,0,0,0.117,0.011,0.236,0.0075
hsa-mir-183-5p,hsa-mir-33a-5p,27086,5896,-1,0,0,0.0105,0.5645,0.029,0.0045
hsa-mir-183-5p,hsa-mir-33a-5p,27086,57609,-1,0,0,0.0105,0.011,0.0625,0.009
hsa-mir-20b-5p,hsa-mir-301a-3p,1316,11221,1,0.0005,0.0005,0.447,0.0885,0.011,0.006
hsa-mir-130b-3p,hsa-mir-18a-3p,1316,4000,1,0,0,0.124,0.083,0.182,0.008
hsa-mir-17-5p,hsa-mir-18a-5p,3091,4846,1,0.0015,0.0005,0,0.0545,0.0605,0.0065
hsa-mir-9-3p,hsa-mir-9-5p,4790,958,1,0,0,0,0.0135,0.0225,0.0025
hsa-mir-9-3p,hsa-mir-9-5p,4790,8870,1,0,0,0,0.0305,0.027,0.003
hsa-mir-9-3p,hsa-mir-9-5p,4790,8767,1,0,0,0,0.0375,0.0115,0.005
hsa-mir-9-3p,hsa-mir-9-5p,4790,602,1,0,0,0,0.015,0.022,0
hsa-mir-9-3p,hsa-mir-9-5p,4790,4318,1,0,0,0,0.017,0.0185,0.0015
hsa-mir-9-3p,hsa-mir-9-5p,4790,3726,1,0,0,0,0.018,0.031,0
hsa-mir-9-3p,hsa-mir-9-5p,4790,331,1,0,0,0,0.011,0.011,0.0005
hsa-mir-17-5p,hsa-mir-20a-3p,6774,3726,1,0,0,0.0175,0.243,0.292,0.0045
hsa-mir-106a-5p,hsa-mir-19a-3p,3091,3553,1,0.0005,0,0.071,0.026,0.0975,0
hsa-mir-200a-3p,hsa-mir-203a-3p,2627,5144,1,0.002,0,0.1585,0.0625,0.6975,0.0035
hsa-mir-182-5p,hsa-mir-301b-3p,4790,3569,1,0,0,0.796,0.2395,0.1075,0.0015
hsa-mir-200b-3p,hsa-mir-9-5p,2113,80727,1,0,0,0.0055,0.21,0.3955,0.0055
hsa-mir-429,hsa-mir-9-5p,2113,1026,1,0,0,0.001,0.21,0.1065,0.0065
hsa-mir-429,hsa-mir-9-5p,2113,10043,1,0,0,0.001,0.1905,0.0135,0.004
hsa-mir-183-5p,hsa-mir-577,27086,7163,-1,0,0,0.0095,0.0405,0.1255,0.007
hsa-mir-183-5p,hsa-mir-96-5p,367,472,1,0.0005,0,0,0.0485,0.0965,0.004
hsa-mir-183-5p,hsa-mir-96-5p,367,22926,1,0.0005,0,0,0.6285,0.0875,0.0035
hsa-mir-130b-3p,hsa-mir-200b-3p,1316,467,1,0,0,0.003,0.23,0.0125,0.0085
hsa-mir-106a-5p,hsa-mir-18a-5p,6774,3726,1,0.0005,0.001,0.715,0.151,0.066,0.004
hsa-mir-196b-5p,hsa-mir-9-5p,5452,5450,1,0,0.0005,0.027,0.0935,0.0175,0.008
hsa-mir-651-5p,hsa-mir-9-3p,639,2908,1,0,0,0.1935,0.02,0.0245,0.0095
hsa-mir-18a-5p,hsa-mir-1910-5p,2099,4846,1,0,0.0065,0.3355,0.047,0.7235,0.0035
hsa-mir-335-5p,hsa-mir-7-5p,60468,4249,1,0.0015,0.002,0.0655,0.0645,0.0105,0.0045
hsa-mir-19a-3p,hsa-mir-19b-3p,1997,4650,1,0,0.002,0.028,0.0695,0.1285,0
hsa-mir-19a-3p,hsa-mir-19b-3p,1997,113,1,0,0.002,0.028,0.052,0.0125,0.008
hsa-mir-20a-5p,hsa-mir-20b-5p,6774,7291,1,0.008,0.0055,0.9205,0.081,0.3685,0.002
hsa-mir-20a-5p,hsa-mir-20b-5p,6774,4615,1,0.008,0.0055,0.9205,0.048,0.014,0.0005
hsa-mir-19a-3p,hsa-mir-20a-5p,4205,3097,1,0.0025,0.007,0.3785,0.015,0.0765,0.0075
hsa-mir-141-3p,hsa-mir-196b-5p,2627,677,1,0.001,0.0005,0.309,0.03,0.1305,0.006
hsa-mir-106a-5p,hsa-mir-17-5p,6774,3726,1,0.0015,0.0005,0.0275,0.2055,0.275,0.001
hsa-mir-183-5p,hsa-mir-7-5p,6934,6591,1,0,0.0095,0.343,0.3905,0.037,0.0015
hsa-mir-17-5p,hsa-mir-19b-3p,2099,3726,1,0,0,0.001,0.304,0.578,0.0085
hsa-mir-19a-3p,hsa-mir-19b-3p,51621,53635,-1,0.0005,0.002,0.013,0.2805,0.0705,0.0035
hsa-mir-20a-3p,hsa-mir-20a-5p,6774,3726,1,0,0.0055,0.2245,0.2755,0.615,0.0055
hsa-mir-19a-3p,hsa-mir-19b-3p,2099,5272,1,0,0,0,0.138,0.0115,0.0035
hsa-mir-19a-3p,hsa-mir-19b-3p,2099,1831,1,0,0,0,0.423,0.0595,0.001
hsa-mir-19a-3p,hsa-mir-338-3p,860,65983,1,0,0.005,0.196,0.0175,0.827,0.009
