miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-224-5p,hsa-mir-96-5p,4205,26034,1,0,0.001,0.0065,0.0295,0.0435,0.003
hsa-mir-16-2-3p,hsa-mir-552-3p,367,1173,1,0,0.0005,0.0595,0.6195,0.0215,0.0075
hsa-mir-135b-5p,hsa-mir-92a-1-5p,4205,50807,1,0,0.0005,0.3885,0.113,0.6585,0.0055
hsa-mir-514a-3p,hsa-mir-942-5p,4212,3757,1,0,0,0.1275,0.1175,0.033,0.004
hsa-mir-1180-3p,hsa-mir-1291,2113,4322,1,0.001,0.005,0.011,0.766,0.2675,0.004
hsa-mir-196b-5p,hsa-mir-20a-3p,5452,3112,1,0,0,0.0005,0.057,0.0125,0.0005
hsa-mir-16-2-3p,hsa-mir-625-5p,367,10957,1,0,0,0.071,0.0135,0.2685,0.0005
hsa-mir-144-3p,hsa-mir-29b-1-5p,7026,344,1,0.001,0,0.4205,0.0365,0.038,0.006
hsa-mir-23b-5p,hsa-mir-429,3091,2235,1,0.005,0.0095,0.0055,0.262,0.0135,0.007
hsa-mir-362-5p,hsa-mir-625-3p,7003,8470,1,0,0,0.013,0.3545,0.025,0.0075
hsa-mir-362-5p,hsa-mir-625-3p,7003,7328,1,0,0,0.013,0.177,0.066,0.0095
hsa-let-7f-2-3p,hsa-mir-23b-5p,4205,57157,1,0.006,0.008,0.112,0.3975,0.475,0.005
hsa-mir-18a-3p,hsa-mir-7-5p,3662,2208,1,0.0095,0.001,0.0635,0.0155,0.3995,0.0065
hsa-mir-224-5p,hsa-mir-429,2113,4790,1,0.0005,0,0.0005,0.512,0.1355,0.009
hsa-mir-570-3p,hsa-mir-625-3p,7003,6453,1,0.003,0,0.427,0.135,0.492,0.0015
