"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-mir-130a-3p","hsa-mir-301b-3p",4790,"NFKB1",1508,"CTSB",1,5e-04,0,0.006,0.358,0.018,0.0015
"hsa-mir-301a-3p","hsa-mir-33a-5p",6667,"SP1",1551,"CYP3A7",1,0,0,0.0165,0.2315,0.411,0.009
"hsa-let-7f-5p","hsa-mir-96-5p",6667,"SP1",1551,"CYP3A7",1,0.009,0,0.2615,0.112,0.176,0.009
"hsa-mir-149-5p","hsa-mir-301b-3p",6667,"SP1",1551,"CYP3A7",1,0.003,0,0.641,0.4125,0.0585,0.0055
"hsa-mir-301a-3p","hsa-mir-33a-5p",6667,"SP1",1577,"CYP3A5",1,0,0,0.0165,0.136,0.215,0.007
"hsa-mir-301a-3p","hsa-mir-548b-3p",6667,"SP1",1577,"CYP3A5",1,0,0.002,0.051,0.145,0.1075,0.0045
"hsa-mir-29a-5p","hsa-mir-29b-3p",3091,"HIF1A",1871,"E2F3",1,5e-04,5e-04,0.0045,0.115,0.052,0
"hsa-mir-19a-3p","hsa-mir-93-3p",1385,"CREB1",1958,"EGR1",1,0,0.0085,0.0315,0.0495,0.0505,0.0045
"hsa-mir-130a-3p","hsa-mir-301b-3p",6667,"SP1",2114,"ETS2",1,0,5e-04,0.7555,0.2155,0.046,0.0015
"hsa-mir-18a-5p","hsa-mir-93-3p",6774,"STAT3",2120,"ETV6",1,0,0.002,0.005,0.8005,0.2445,0.0055
"hsa-mir-26b-3p","hsa-mir-629-3p",10499,"NCOA2",2186,"BPTF",1,0.0035,0.003,0.123,0.022,0.2965,0.0055
"hsa-mir-20b-5p","hsa-mir-93-3p",1385,"CREB1",2321,"FLT1",1,0.004,0.0095,0.268,0.9755,0.1475,0.0035
"hsa-mir-29a-5p","hsa-mir-324-5p",3091,"HIF1A",2321,"FLT1",1,5e-04,5e-04,0.0455,0.026,0.3725,0.002
"hsa-mir-135b-5p","hsa-mir-429",4609,"MYC",3308,"HSPA4",1,0,0.005,0.036,0.466,0.059,0.0015
"hsa-mir-301b-3p","hsa-mir-9-3p",4790,"NFKB1",3371,"TNC",1,0,0,0.274,0.156,0.015,0.004
"hsa-mir-301a-3p","hsa-mir-301b-3p",6774,"STAT3",3454,"IFNAR1",1,0.0015,0,0.0425,0.0495,0.3775,0.007
"hsa-mir-196b-5p","hsa-mir-31-5p",6774,"STAT3",3454,"IFNAR1",1,0.0065,0.006,0.8685,0.012,0.1285,0.003
