"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-mir-17-5p","hsa-mir-20a-5p",6774,"STAT3",3726,"JUNB",1,0,0.008,0.001,0.3355,0.6355,0.0055
"hsa-mir-130b-3p","hsa-mir-18a-3p",1316,"KLF6",4000,"LMNA",1,0,0,0.124,0.083,0.182,0.008
"hsa-mir-17-5p","hsa-mir-20a-5p",1316,"KLF6",4000,"LMNA",1,0,0,0,0.178,0.036,0.0045
"hsa-mir-17-5p","hsa-mir-20a-5p",4205,"MEF2A",4000,"LMNA",1,0.003,0.008,0.02,0.178,0.036,0.0045
"hsa-mir-19b-3p","hsa-mir-20a-5p",4782,"NFIC",4146,"MATN1",-1,0,0.001,0.0025,0.0725,0.0175,0.0065
"hsa-mir-18a-5p","hsa-mir-19a-3p",4782,"NFIC",4146,"MATN1",-1,0,0.001,0.055,0.0275,0.1215,0.0045
"hsa-mir-17-5p","hsa-mir-19b-3p",4782,"NFIC",4146,"MATN1",-1,0,5e-04,0.003,0.166,0.069,0.0055
"hsa-mir-335-5p","hsa-mir-7-5p",60468,"BACH2",4249,"MGAT5",1,0.0015,0.002,0.0655,0.0645,0.0105,0.0045
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",4318,"MMP9",1,0,0,0,0.017,0.0185,0.0015
"hsa-mir-20a-5p","hsa-mir-20b-5p",6774,"STAT3",4615,"MYD88",1,0.008,0.0055,0.9205,0.048,0.014,5e-04
"hsa-mir-200a-3p","hsa-mir-200b-3p",1316,"KLF6",4627,"MYH9",1,0,0,0,0.0175,0.0365,0
"hsa-mir-19a-3p","hsa-mir-19b-3p",1997,"ELF1",4650,"MYO9B",1,0,0.002,0.028,0.0695,0.1285,0
"hsa-mir-20a-3p","hsa-mir-616-3p",1997,"ELF1",4650,"MYO9B",1,0,0.009,0.059,0.695,0.0115,0.0015
"hsa-mir-301b-3p","hsa-mir-9-5p",1316,"KLF6",4739,"NEDD9",1,0,0,0.06,0.7195,0.0785,0.0015
"hsa-mir-1291","hsa-mir-32-3p",2113,"ETS1",4790,"NFKB1",1,0.005,0,0.223,0.7875,0.0175,0.0095
"hsa-mir-17-5p","hsa-mir-18a-5p",2099,"ESR1",4846,"NOS3",1,0,0,5e-04,0.0545,0.0605,0.0065
"hsa-mir-17-5p","hsa-mir-18a-5p",3091,"HIF1A",4846,"NOS3",1,0.0015,5e-04,0,0.0545,0.0605,0.0065
"hsa-mir-18a-5p","hsa-mir-18b-5p",2099,"ESR1",4846,"NOS3",1,0,0,0.4575,0.0455,0.0475,5e-04
"hsa-mir-17-5p","hsa-mir-1910-5p",2099,"ESR1",4846,"NOS3",1,0,0.0065,0.5375,0.065,0.7265,0
"hsa-mir-18a-5p","hsa-mir-1910-5p",2099,"ESR1",4846,"NOS3",1,0,0.0065,0.3355,0.047,0.7235,0.0035
"hsa-mir-224-5p","hsa-mir-570-3p",2113,"ETS1",4939,"OAS2",1,0,0,0.0785,0.443,0.0295,0.006
"hsa-mir-1910-5p","hsa-mir-301b-3p",2099,"ESR1",5087,"PBX1",1,0.0035,0,0.008,0.372,0.9295,0.0055
"hsa-mir-200a-3p","hsa-mir-203a-3p",2627,"GATA6",5144,"PDE4D",1,0.002,0,0.1585,0.0625,0.6975,0.0035
"hsa-mir-19a-3p","hsa-mir-19b-3p",2099,"ESR1",5272,"SERPINB9",1,0,0,0,0.138,0.0115,0.0035
"hsa-mir-1910-5p","hsa-mir-96-5p",3516,"RBPJ",5305,"PIP4K2A",1,0.0065,0,0.9775,0.022,0.015,0.0095
"hsa-mir-196b-5p","hsa-mir-9-5p",5452,"POU2F2",5450,"POU2AF1",1,0,5e-04,0.027,0.0935,0.0175,0.008
"hsa-mir-9-3p","hsa-mir-9-5p",639,"PRDM1",5583,"PRKCH",1,0,0.0085,0.002,0.0165,0.0525,0.0055
"hsa-mir-33a-5p","hsa-mir-9-5p",27086,"FOXP1",5896,"RAG1",-1,0,0.0015,0.0335,0.0355,0.034,0.0075
"hsa-mir-183-5p","hsa-mir-33a-5p",27086,"FOXP1",5896,"RAG1",-1,0,0,0.0105,0.5645,0.029,0.0045
"hsa-mir-18a-5p","hsa-mir-20a-5p",6774,"STAT3",6288,"SAA1",1,0.0045,0.003,0.1415,0.0175,0.095,5e-04
"hsa-mir-19a-3p","hsa-mir-19b-3p",3091,"HIF1A",6556,"SLC11A1",1,0.002,5e-04,0.003,0.3325,0.0805,0.005
"hsa-mir-183-5p","hsa-mir-7-5p",6934,"TCF7L2",6591,"SNAI2",1,0,0.0095,0.343,0.3905,0.037,0.0015
"hsa-mir-200b-3p","hsa-mir-429",2113,"ETS1",7124,"TNF",1,0,0,0,0.0235,0.0185,0
"hsa-mir-183-5p","hsa-mir-577",27086,"FOXP1",7163,"TPD52",-1,0,0,0.0095,0.0405,0.1255,0.007
"hsa-mir-183-5p","hsa-mir-9-5p",27086,"FOXP1",7163,"TPD52",-1,0,0.0015,0.039,0.057,0.3095,0.0075
"hsa-mir-33a-5p","hsa-mir-9-5p",27086,"FOXP1",7163,"TPD52",-1,0,0.0015,0.0335,0.0125,0.2755,0.005
"hsa-mir-18a-3p","hsa-mir-33a-5p",27086,"FOXP1",7163,"TPD52",-1,0.004,0,0.109,0.0545,0.011,0.0095
"hsa-mir-106a-5p","hsa-mir-20a-5p",6774,"STAT3",7291,"TWIST1",1,5e-04,0.0045,0.0065,0.132,0.062,0.005
"hsa-mir-20a-5p","hsa-mir-20b-5p",6774,"STAT3",7291,"TWIST1",1,0.008,0.0055,0.9205,0.081,0.3685,0.002
"hsa-mir-130b-3p","hsa-mir-301a-3p",1316,"KLF6",7466,"WFS1",1,0,0,0.122,0.044,0.0335,0.0075
"hsa-mir-219a-1-3p","hsa-mir-9-5p",2113,"ETS1",7728,"ZNF175",1,0,0,0.037,0.0895,0.168,0.006
"hsa-mir-17-5p","hsa-mir-20a-5p",4205,"MEF2A",8301,"PICALM",1,0.003,0.008,0.02,0.0385,0.0295,0.005
"hsa-mir-141-3p","hsa-mir-200b-3p",2627,"GATA6",8412,"BCAR3",1,0.001,0.0045,0,0.0185,0.191,0.006
"hsa-mir-182-5p","hsa-mir-20a-5p",2034,"EPAS1",8553,"BHLHE40",1,0,0,0.301,0.036,0.045,0.005
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",8767,"RIPK2",1,0,0,0,0.0375,0.0115,0.005
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",8870,"IER3",1,0,0,0,0.0305,0.027,0.003
"hsa-mir-17-5p","hsa-mir-9-5p",2099,"ESR1",9021,"SOCS3",1,0,0,0.117,0.011,0.236,0.0075
"hsa-mir-200a-3p","hsa-mir-200b-3p",1316,"KLF6",9208,"LRRFIP1",1,0,0,0,0.0165,0.018,0.0015
"hsa-mir-130b-3p","hsa-mir-9-5p",4790,"NFKB1",9308,"CD83",1,0,0,0.5165,0.3335,0.038,5e-04
"hsa-mir-200b-3p","hsa-mir-429",2113,"ETS1",10043,"TOM1",1,0,0,0,0.0185,0.144,0.0055
"hsa-mir-429","hsa-mir-9-5p",2113,"ETS1",10043,"TOM1",1,0,0,0.001,0.1905,0.0135,0.004
"hsa-mir-125b-2-3p","hsa-mir-19a-3p",27086,"FOXP1",10090,"UST",-1,0.0025,0,0.042,0.318,0.8185,0.0035
"hsa-mir-589-3p","hsa-mir-96-5p",367,"AR",10957,"PNRC1",1,0,0,0.013,0.022,0.1785,0.0025
"hsa-mir-20b-5p","hsa-mir-301a-3p",1316,"KLF6",11221,"DUSP10",1,5e-04,5e-04,0.447,0.0885,0.011,0.006
"hsa-mir-183-5p","hsa-mir-96-5p",367,"AR",22926,"ATF6",1,5e-04,0,0,0.6285,0.0875,0.0035
"hsa-mir-106a-5p","hsa-mir-19a-3p",4205,"MEF2A",23291,"FBXW11",1,0.002,0.002,0.2155,0.252,0.0285,0
"hsa-mir-17-5p","hsa-mir-9-5p",6886,"TAL1",23348,"DOCK9",1,0,0,0.631,0.6335,0.144,0.007
"hsa-mir-200a-3p","hsa-mir-200b-3p",2627,"GATA6",53405,"CLIC5",1,5e-04,0.003,0,0.018,0.091,0.0015
"hsa-mir-19a-3p","hsa-mir-19b-3p",51621,"KLF13",53635,"PTOV1",-1,5e-04,0.002,0.013,0.2805,0.0705,0.0035
"hsa-mir-183-5p","hsa-mir-33a-5p",27086,"FOXP1",57609,"DIP2B",-1,0,0,0.0105,0.011,0.0625,0.009
"hsa-mir-19a-3p","hsa-mir-338-3p",860,"RUNX2",65983,"GRAMD2B",1,0,0.005,0.196,0.0175,0.827,0.009
"hsa-mir-17-5p","hsa-mir-18a-5p",861,"RUNX1",79899,"PRR5L",1,0,5e-04,5e-04,0.091,0.0175,0.007
"hsa-mir-200b-3p","hsa-mir-9-5p",2113,"ETS1",80727,"TTYH3",1,0,0,0.0055,0.21,0.3955,0.0055
"hsa-mir-18a-3p","hsa-mir-20a-3p",571,"BACH1",81844,"TRIM56",1,0.0085,0.0055,0.0225,0.074,0.075,0.008
"hsa-mir-106a-5p","hsa-mir-19a-3p",4205,"MEF2A",151056,"PLB1",1,0.002,0.002,0.2155,0.0145,0.2175,5e-04
