miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-1224-5p,hsa-mir-766-3p,4609,10327,1,0.0045,0.0005,0.0335,0.028,0.897,0.0065
hsa-mir-200a-3p,hsa-mir-200b-3p,6935,999,-1,0,0.0055,0.001,0.0345,0.066,0.005
hsa-mir-200a-3p,hsa-mir-200b-3p,9839,7431,1,0.0025,0.004,0.0075,0.0125,0.015,0.0035
hsa-mir-29b-3p,hsa-mir-29c-3p,60436,8165,-1,0.0015,0.002,0.251,0.332,0.14,0.0025
hsa-mir-29b-3p,hsa-mir-374b-5p,6925,10413,1,0.008,0.0095,0.235,0.4055,0.643,0.007
