"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-mir-497-3p","hsa-mir-96-5p",3091,"HIF1A",285,"ANGPT2",1,0.0075,0.0085,0.0835,0.183,0.3545,0.0085
"hsa-mir-497-3p","hsa-mir-96-5p",3091,"HIF1A",1012,"CDH13",1,0.0075,0.0085,0.0835,0.0515,0.2725,0.002
"hsa-mir-497-3p","hsa-mir-96-5p",3091,"HIF1A",1906,"EDN1",1,0.0075,0.0085,0.0835,0.1365,0.2675,0.0095
"hsa-mir-1180-3p","hsa-mir-200b-3p",2113,"ETS1",3932,"LCK",1,0.004,0,0.253,0.033,0.1055,0.0045
"hsa-mir-200b-3p","hsa-mir-429",9839,"ZEB2",57706,"DENND1A",-1,0,0,0.306,0.014,0.0225,0.005
